run_id,seed,dataset,method,metric_name,metric_value,std,n_samples,notes
0030_h2o,1,LongBench,H2O,acc,77.81,,1000,
0030_h2o,2,LongBench,H2O,acc,78.34,,1000,
0030_h2o,3,LongBench,H2O,acc,78.36,,1000,
0030_h2o,4,LongBench,H2O,acc,78.03,,1000,
0030_h2o,5,LongBench,H2O,acc,78.29,,1000,
0030_h2o,1,RULER,H2O,acc,64.62,,1000,
0030_h2o,2,RULER,H2O,acc,64.98,,1000,
0030_h2o,3,RULER,H2O,acc,64.82,,1000,
0030_h2o,4,RULER,H2O,acc,64.92,,1000,
0030_h2o,5,RULER,H2O,acc,64.92,,1000,
0030_h2o,1,InfiniteBench,H2O,acc,52.08,,1000,
0030_h2o,2,InfiniteBench,H2O,acc,52.29,,1000,
0030_h2o,3,InfiniteBench,H2O,acc,52.23,,1000,
0030_h2o,4,InfiniteBench,H2O,acc,52.93,,1000,
0030_h2o,5,InfiniteBench,H2O,acc,51.82,,1000,
0030_streamingllm,1,LongBench,StreamingLLM,acc,75.43,,1000,
0030_streamingllm,2,LongBench,StreamingLLM,acc,75.63,,1000,
0030_streamingllm,3,LongBench,StreamingLLM,acc,75.49,,1000,
0030_streamingllm,4,LongBench,StreamingLLM,acc,75.84,,1000,
0030_streamingllm,5,LongBench,StreamingLLM,acc,76.22,,1000,
0030_streamingllm,1,RULER,StreamingLLM,acc,63.14,,1000,
0030_streamingllm,2,RULER,StreamingLLM,acc,62.84,,1000,
0030_streamingllm,3,RULER,StreamingLLM,acc,62.81,,1000,
0030_streamingllm,4,RULER,StreamingLLM,acc,62.6,,1000,
0030_streamingllm,5,RULER,StreamingLLM,acc,63.06,,1000,
0030_streamingllm,1,InfiniteBench,StreamingLLM,acc,49.68,,1000,
0030_streamingllm,2,InfiniteBench,StreamingLLM,acc,49.64,,1000,
0030_streamingllm,3,InfiniteBench,StreamingLLM,acc,49.68,,1000,
0030_streamingllm,4,InfiniteBench,StreamingLLM,acc,49.83,,1000,
0030_streamingllm,5,InfiniteBench,StreamingLLM,acc,49.67,,1000,
0030_flashattention,1,LongBench,FlashAttention-2,acc,82.37,,1000,
0030_flashattention,2,LongBench,FlashAttention-2,acc,82.82,,1000,
0030_flashattention,3,LongBench,FlashAttention-2,acc,82.62,,1000,
0030_flashattention,4,LongBench,FlashAttention-2,acc,82.92,,1000,
0030_flashattention,5,LongBench,FlashAttention-2,acc,82.63,,1000,
0030_flashattention,1,RULER,FlashAttention-2,acc,71.0,,1000,
0030_flashattention,2,RULER,FlashAttention-2,acc,71.39,,1000,
0030_flashattention,3,RULER,FlashAttention-2,acc,71.32,,1000,
0030_flashattention,4,RULER,FlashAttention-2,acc,71.29,,1000,
0030_flashattention,5,RULER,FlashAttention-2,acc,71.43,,1000,
0030_flashattention,1,InfiniteBench,FlashAttention-2,acc,56.44,,1000,
0030_flashattention,2,InfiniteBench,FlashAttention-2,acc,56.3,,1000,
0030_flashattention,3,InfiniteBench,FlashAttention-2,acc,56.18,,1000,
0030_flashattention,4,InfiniteBench,FlashAttention-2,acc,56.08,,1000,
0030_flashattention,5,InfiniteBench,FlashAttention-2,acc,56.12,,1000,
0041,1,LongBench,Ours,acc,84.55,,1000,
0041,2,LongBench,Ours,acc,84.47,,1000,
0041,3,LongBench,Ours,acc,84.48,,1000,
0041,4,LongBench,Ours,acc,84.17,,1000,
0041,5,LongBench,Ours,acc,84.76,,1000,
0041,1,RULER,Ours,acc,73.59,,1000,
0041,2,RULER,Ours,acc,73.62,,1000,
0041,3,RULER,Ours,acc,73.57,,1000,
0041,4,RULER,Ours,acc,73.46,,1000,
0041,5,RULER,Ours,acc,74.11,,1000,
0041,1,InfiniteBench,Ours,acc,58.83,,1000,
0041,2,InfiniteBench,Ours,acc,58.63,,1000,
0041,3,InfiniteBench,Ours,acc,58.77,,1000,
0041,4,InfiniteBench,Ours,acc,58.62,,1000,
0041,5,InfiniteBench,Ours,acc,58.97,,1000,
